"Timestamp","Qual sua formação acadêmica?","Com que frequência você realiza trabalhos acadêmicos?","Quais dos seguintes ambientes você utiliza na edição de seus trabalhos?","Quais dos seguintes problemas você possui no momento da edição de trabalhos acadêmicos?","Quais destas opções você gostaria que uma ferramenta de edição fornecesse como ajuda na edição de um trabalho acadêmico?"
"2018/03/02 3:34:55 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar tabelas","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Gerador de Gráficos;Criação automática de sumários"
"2018/03/02 3:47:24 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word;LateX","Numeração de páginas;Não compreender a ferramenta;Difícil configuração da ferramenta para as normas que exigem do trabalho","Modelo de documentos;Gerador de Referências;Compartilhar documento com o orientador;Gerador de Gráficos;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 4:00:27 PM GMT-3","Ensino Superior Incompleto","Pouca","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Criar referências","Modelo de documentos;Gerador de Referências;Tutorial interativo da Ferramenta;Criação automática de sumários;Verificação de plágio;Verificador de plágio......seria meu sonho???"
"2018/03/02 5:12:07 PM GMT-3","Pós-Graduação","Moderada","Latex","Certas dificuldades em ajustar um layout em latex de uma determinada conferência ou instituição de ensino.","Verificação de plágio"
"2018/03/02 5:25:06 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Fazer citações","Modelo de documentos;Gerador de Referências;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Gerador de Gráficos;Verificação de plágio"
"2018/03/02 5:55:10 PM GMT-3","Ensino Superior Incompleto","Intensa","Word","Criação de sumários;Numeração de páginas;Fazer citações","Gerador de Referências;Tutorial interativo da Ferramenta;Sugestões de erros;Verificação de plágio"
"2018/03/02 8:07:17 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Libre Office","Criar referências;Fazer citações;Criar tabelas","Gerador de Referências;Instruções para citações;Gerador de Tabela de Imagens"
"2018/03/02 8:27:30 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Criação de sumários;Criar tabelas","Sugestões de erros;Dicas de formatação"
"2018/03/02 9:33:04 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Não compreender a ferramenta","Modelo de documentos;Tutorial interativo da Ferramenta;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/02 11:22:37 PM GMT-3","Ensino Médio Completo","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Numeração de páginas","Modelo de documentos;Dicas de formatação;Criação automática de sumários;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/02 11:42:01 PM GMT-3","Ensino Superior Incompleto","Moderada","Google Docs;Word","Nenhuma das opções","Verificação de plágio"
"2018/03/03 10:30:50 AM GMT-3","Ensino Superior Incompleto","Pouca","Word","Numeração de páginas;Criar referências;Fazer citações;Não compreender a ferramenta","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/03 10:42:40 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Numeração de páginas;Criar referências;Criar tabelas","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Criação automática de sumários;Verificação de plágio;Gerador de Tabela de Siglas;Gerador de Tabela de Imagens"
"2018/03/03 11:17:13 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários","Modelo de documentos;Gerador de Referências;Sugestões de erros;Dicas de formatação;Instruções para citações;Compartilhar documento com o orientador;Criação automática de sumários;Verificação de plágio"
"2018/03/03 11:46:45 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Criação de lista de figuras;Criar referências;Fazer citações","Tutorial interativo da Ferramenta;Dicas de formatação;Criação automática de sumários;Verificação de plágio"
"2018/03/03 1:30:41 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Criar referências;Fazer citações","Instruções para citações"
"2018/03/03 10:41:17 PM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word","Criação de sumários;Fazer citações","Sugestões de erros;Instruções para citações;Criação automática de sumários;Verificação de plágio"
"2018/03/04 8:13:13 AM GMT-3","Ensino Superior Incompleto","Intensa","Google Docs;Word;Libre Office;Only Office","Criação de sumários;Criação de lista de figuras;Numeração de páginas;Espaçamento do texto;Criar referências;Fazer citações;Não compreender a ferramenta","Modelo de documentos;Tutorial interativo da Ferramenta;Verificação de plágio"
"2018/03/04 5:20:59 PM GMT-3","Ensino Superior Incompleto","Pouca","Word","Um pocuo de cada","um pouco de cada"
